Leaf name,Leaf Link,Chunk Status,Embedding Status,Num Chunks,Timestamp
My Account Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account/articles/my-account-settings,YES,YES,5,2025-01-07 12:22:31
Organization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/organization/articles/managing-organizations,YES,YES,14,2025-01-07 12:22:45
Manage Users,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/manage-users/articles/manage,YES,YES,6,2025-01-07 12:22:59
User Roles,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/user-roles/articles/user-14-12-2022,YES,YES,2,2025-01-07 12:23:10
Organization Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/h1-nbsp-organization-administrators-nbsp-h1,YES,YES,3,2025-01-07 12:23:21
Workspace Administrators,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/user-management/administrators/articles/manage-workspace-administrators,YES,YES,3,2025-01-07 12:23:32
Account Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/account-notifications,YES,YES,1,2025-01-07 12:23:43
Usage Notifications,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/usage-notifications,YES,YES,2,2025-01-07 12:23:54
Manage Email Settings,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/manage-email-settings,YES,YES,3,2025-01-07 12:24:05
Feature Control,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/feature-control,YES,YES,3,2025-01-07 12:24:16
Security Controls,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/application-settings/articles/security-controls,YES,YES,4,2025-01-07 12:24:27
Backup,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/backup-3-3-2021,YES,YES,3,2025-01-07 12:24:38
Audit Logs,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/data-administration/articles/audit-logs-25-3-2021,YES,YES,5,2025-01-07 12:24:50
GDPR Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/zoho-analytics-gdpr-compliance,YES,YES,5,2025-01-07 12:35:01
HIPAA Compliance,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/security-compliance/articles/hipaa-compliance-15-12-2022-1,YES,YES,5,2025-01-07 12:35:13
Logo Rebranding,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/logo-rebranding,YES,YES,2,2025-01-07 12:35:25
Theme and Tab Customization,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/account-customization/articles/theme-tab-customization,YES,YES,3,2025-01-07 12:35:36
Pricing and Subscriptions,https://help.zoho.com/portal/en/kb/analytics/administrator-guide/subscriptions/articles/pricing-and-payments,YES,YES,23,2025-01-07 12:35:47
Overview,https://help.zoho.com/portal/en/kb/analytics/user-guide/overview/articles/zoho-analytics-cloud-overview,YES,YES,5,2025-01-07 12:36:03
Getting Started with Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/getting-started-with-zoho-analytics,YES,YES,2,2025-01-07 12:36:14
Basic Concepts of Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/basic-concepts-of-zoho-analytics,YES,YES,5,2025-01-07 12:36:25
Sign in and Sign up for Zoho Analytics,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/sign-in-and-sign-up-for-zoho-analytics,YES,YES,3,2025-01-07 12:47:01
Frequently Asked Questions,https://help.zoho.com/portal/en/kb/analytics/user-guide/getting-started/articles/frequ,YES,YES,38,2025-01-07 12:47:34
Linked Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/linked-workspace,YES,YES,8,2025-01-07 12:49:49
Introduction to Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/workspace-introduction,YES,YES,2,2025-01-07 13:00:01
Creating a Workspace,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/creating-a-workspace,YES,YES,6,2025-01-07 13:00:13
Viewing Workspaces,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/viewing-workspaces,YES,YES,18,2025-01-07 13:00:28
Workspace Settings,https://help.zoho.com/portal/en/kb/analytics/user-guide/workspace/articles/workspace-settings,YES,YES,9,2025-01-07 13:00:41
